id,name
0,Parkinson Disease
1,Alzheimer's Disease
2,Cerebral atrophy
3,Gilles de la Tourette syndrome
4,"Myelitis, Transverse"
5,Myasthenia Gravis
6,Neurofibromatoses
7,Dystonia Musculorum Deformans
8,Lewy Body Disease
9,Presenile dementia
10,Familial Alzheimer Disease (FAD)
11,Hepatic Form of Wilson Disease
12,"Alzheimer Disease, Late Onset"
13,Acute Confusional Senile Dementia
14,"Alzheimer's Disease, Focal Onset"
15,"Alzheimer Disease, Early Onset"
16,Hepatolenticular Degeneration
17,"Creutzfeldt-Jakob Disease, Familial"
18,"Spastic Paraplegia, Hereditary"
19,"Mental Retardation, X-Linked"
20,Creutzfeldt-Jakob disease
21,Adrenomyeloneuropathy
22,Adrenoleukodystrophy
23,Amyotrophic Lateral Sclerosis
24,New Variant Creutzfeldt-Jakob Disease
25,Ataxia Telangiectasia
26,"Metachromatic leukodystrophy, juvenile type"
27,"Metachromatic Leukodystrophy, Infant"
28,"Metachromatic Leukodystrophy, Adult-Type (disorder)"
29,"Bulbo-Spinal Atrophy, X-Linked"
30,"Myasthenia Gravis, Generalized"
31,"Myasthenia Gravis, Ocular"
32,Aminoacylase 2 Deficiency
33,Fragile X Syndrome
34,FRAXA Syndrome
35,FRAXE Syndrome
36,Bulbospinal Neuronopathy
37,"Leukodystrophy, Metachromatic"
38,Arylsulfatase A Deficiency
39,Senile Plaques
40,Canavan Disease
41,"Canavan Disease, Familial Form"
42,"Canavan Disease, Neonatal"
43,"Canavan Disease, Sporadic Form"
44,"Canavan Disease, Infantile"
45,"Canavan Disease, Juvenile"
46,Neuromyelitis Optica
47,Miller Dieker syndrome
48,Shy-Drager Syndrome
49,Menkes Kinky Hair Syndrome
50,Hereditary Motor and Sensory-Neuropathy Type II
51,"Ataxia, Spinocerebellar"
52,Amyotrophic Lateral Sclerosis With Dementia
53,Spinocerebellar Ataxia Type 6 (disorder)
54,Spinocerebellar Ataxia Type 5
